Profit,Customer Name,Segment,Category
13.35,Clay Ludtke,Consumer,Office Supplies
14.53,Ryan Crowe,Consumer,Office Supplies
1.65,Ryan Crowe,Consumer,Office Supplies
7.49,Ryan Crowe,Consumer,Office Supplies
44.03,Ryan Crowe,Consumer,Office Supplies
165.38,Dave Kipp,Consumer,Furniture
-115.72,Greg Guthrie,Corporate,Office Supplies
18.35,Steven Cartwright,Consumer,Furniture
13.88,Steven Cartwright,Consumer,Office Supplies
63.44,Steven Cartwright,Consumer,Office Supplies
51.76,Steven Cartwright,Consumer,Office Supplies
19.73,Steven Cartwright,Consumer,Technology
-8.58,Alan Dominguez,Home Office,Furniture
-407.68,Philip Fox,Consumer,Furniture
-1.83,Troy Staebel,Consumer,Office Supplies
30.50,Troy Staebel,Consumer,Office Supplies
-9.16,Lindsay Shagiari,Home Office,Furniture
26.24,Lindsay Shagiari,Home Office,Furniture
-11.99,Dorothy Wardle,Corporate,Technology
29.36,Dorothy Wardle,Corporate,Office Supplies
6.97,Dorothy Wardle,Corporate,Office Supplies
9.62,Lena Creighton,Consumer,Office Supplies
16.66,Lena Creighton,Consumer,Office Supplies
3.46,Lena Creighton,Consumer,Office Supplies
1.97,Lena Creighton,Consumer,Office Supplies
26.66,Lena Creighton,Consumer,Office Supplies
18.45,Lena Creighton,Consumer,Office Supplies
20.70,Lena Creighton,Consumer,Furniture
10.35,Jonathan Doherty,Corporate,Furniture
2.38,Sally Hughsby,Corporate,Office Supplies
5.10,Sally Hughsby,Corporate,Office Supplies
68.98,Sally Hughsby,Corporate,Office Supplies
218.25,Sandra Glassco,Consumer,Office Supplies
20.16,Helen Andreada,Consumer,Office Supplies
12.91,Maureen Gastineau,Home Office,Furniture
103.80,Justin Ellison,Corporate,Technology
6.00,Justin Ellison,Corporate,Technology
585.55,Justin Ellison,Corporate,Furniture
80.63,Justin Ellison,Corporate,Office Supplies
17.77,Tamara Willingham,Home Office,Office Supplies
15.24,Tamara Willingham,Home Office,Technology
26.27,Stephanie Phelps,Corporate,Office Supplies
48.54,Stephanie Phelps,Corporate,Office Supplies
21.03,Stephanie Phelps,Corporate,Office Supplies
1.79,Neil Knudson,Home Office,Office Supplies
51.48,Dave Brooks,Consumer,Furniture
6.87,Nora Paige,Consumer,Office Supplies
236.23,Nora Paige,Consumer,Technology
2.69,Ted Trevino,Consumer,Office Supplies
1.36,Eric Murdock,Consumer,Technology
13.35,Ruben Dartt,Consumer,Office Supplies
9.69,Max Jones,Consumer,Office Supplies
2.73,Becky Martin,Consumer,Office Supplies
-1359.99,Becky Martin,Consumer,Technology
-58.63,Becky Martin,Consumer,Office Supplies
-24.86,Becky Martin,Consumer,Furniture
6.81,Becky Martin,Consumer,Office Supplies
-453.85,Becky Martin,Consumer,Office Supplies
9.00,Becky Martin,Consumer,Technology
9.84,Chad Sievert,Consumer,Office Supplies
53.26,Chad Sievert,Consumer,Office Supplies
21.26,Chad Sievert,Consumer,Furniture
-131.12,Jennifer Braxton,Corporate,Office Supplies
6.55,Jennifer Braxton,Corporate,Office Supplies
-243.16,Shirley Jackson,Consumer,Office Supplies
-11.34,Joel Eaton,Consumer,Furniture
-3.77,Joel Eaton,Consumer,Office Supplies
1.41,Jim Kriz,Home Office,Office Supplies
1.86,David Kendrick,Corporate,Office Supplies
76.64,David Kendrick,Corporate,Technology
131.03,Robert Marley,Home Office,Technology
41.99,Robert Marley,Home Office,Technology
7.25,Robert Marley,Home Office,Technology
3.44,Sally Knutson,Consumer,Office Supplies
22.98,Frank Merwin,Home Office,Technology
3.72,Alice McCarthy,Corporate,Office Supplies
6.26,Alice McCarthy,Corporate,Office Supplies
112.39,Mark Packer,Home Office,Furniture
20.09,Mark Packer,Home Office,Technology
24.88,Mark Packer,Home Office,Office Supplies
46.98,Mark Packer,Home Office,Furniture
6.57,Mark Packer,Home Office,Office Supplies
6.71,Mary Zewe,Corporate,Office Supplies
1.20,Cassandra Brandow,Consumer,Office Supplies
1.59,Cassandra Brandow,Consumer,Office Supplies
12.03,Valerie Mitchum,Home Office,Office Supplies
-2.26,Fred Hopkins,Corporate,Office Supplies
5.82,Fred Hopkins,Corporate,Office Supplies
6.80,Maria Bertelson,Consumer,Office Supplies
-161.88,Bruce Stewart,Consumer,Furniture
0.29,Bruce Stewart,Consumer,Office Supplies
-178.97,Logan Currie,Consumer,Office Supplies
9.67,Heather Kirkland,Corporate,Furniture
44.48,Laurel Elliston,Consumer,Technology
5.87,Joseph Holt,Consumer,Office Supplies
35.63,Joseph Holt,Consumer,Technology
7.48,Joseph Holt,Consumer,Office Supplies
16.21,Joseph Holt,Consumer,Office Supplies
3.68,Joseph Holt,Consumer,Office Supplies
6.50,Michael Stewart,Corporate,Technology
8.88,Victoria Wilson,Corporate,Office Supplies
-244.32,Victoria Wilson,Corporate,Furniture
-14.70,Victoria Wilson,Corporate,Technology
-950.40,Victoria Wilson,Corporate,Technology
4.48,Victoria Wilson,Corporate,Technology
26.06,Jonathan Howell,Consumer,Office Supplies
22.68,Jonathan Howell,Consumer,Technology
1.81,Joni Blumstein,Consumer,Office Supplies
8.23,Joni Blumstein,Consumer,Office Supplies
-13.84,Joni Blumstein,Consumer,Office Supplies
19.08,Joni Blumstein,Consumer,Furniture
-383.99,Joni Blumstein,Consumer,Technology
2.72,Joni Blumstein,Consumer,Office Supplies
0.97,David Smith,Corporate,Office Supplies
136.94,David Smith,Corporate,Furniture
0.22,David Smith,Corporate,Office Supplies
-28.27,Valerie Dominguez,Consumer,Furniture
43.84,Valerie Dominguez,Consumer,Furniture
-12.43,Erin Ashbrook,Corporate,Office Supplies
-102.05,Christopher Schild,Home Office,Furniture
-248.25,Christopher Schild,Home Office,Furniture
-3.55,Christopher Schild,Home Office,Office Supplies
0.00,Christopher Schild,Home Office,Furniture
-7.72,Christopher Schild,Home Office,Technology
4.75,David Bremer,Corporate,Office Supplies
9.40,Ken Lonsdale,Consumer,Office Supplies
-356.73,Ken Lonsdale,Consumer,Furniture
-4.68,Ken Lonsdale,Consumer,Furniture
11.19,Ken Lonsdale,Consumer,Technology
-120.51,Ken Lonsdale,Consumer,Furniture
-2.83,Ken Lonsdale,Consumer,Furniture
1.20,Ken Lonsdale,Consumer,Office Supplies
580.54,Dianna Wilson,Home Office,Furniture
41.68,Dianna Wilson,Home Office,Office Supplies
23.94,Dianna Wilson,Home Office,Office Supplies
496.07,Dianna Wilson,Home Office,Office Supplies
12.44,Dianna Wilson,Home Office,Office Supplies
28.14,Logan Haushalter,Consumer,Furniture
3.58,Kelly Collister,Consumer,Office Supplies
636.00,Kelly Collister,Consumer,Technology
22.56,Delfina Latchford,Consumer,Office Supplies
162.86,Delfina Latchford,Consumer,Office Supplies
-8.49,Dan Reichenbach,Corporate,Furniture
-19.56,Dan Reichenbach,Corporate,Office Supplies
4.04,Dan Reichenbach,Corporate,Office Supplies
56.69,Dan Reichenbach,Corporate,Technology
6.93,Craig Carreira,Consumer,Technology
6.65,Craig Carreira,Consumer,Office Supplies
6.13,Craig Carreira,Consumer,Office Supplies
-4.47,Dorris liebe,Corporate,Office Supplies
-510.00,Sean Braxton,Corporate,Technology
-252.00,Sean Braxton,Corporate,Technology
28.72,Roy Collins,Consumer,Technology
35.16,Alan Hwang,Consumer,Technology
4.73,Claudia Bergmann,Corporate,Office Supplies
0.30,Paul Gonzalez,Consumer,Office Supplies
-7.44,Christine Abelman,Corporate,Office Supplies
21.59,Christine Abelman,Corporate,Office Supplies
210.49,Kristen Hastings,Corporate,Office Supplies
92.37,Helen Andreada,Consumer,Technology
2.32,Helen Andreada,Consumer,Furniture
4.10,Helen Andreada,Consumer,Office Supplies
4.06,Barry Blumstein,Corporate,Office Supplies
1.55,Barry Blumstein,Corporate,Office Supplies
4.08,Andrew Gjertsen,Corporate,Office Supplies
5.91,Andrew Gjertsen,Corporate,Office Supplies
5.97,Andrew Gjertsen,Corporate,Office Supplies
8.69,Andrew Gjertsen,Corporate,Office Supplies
-3.43,Steven Cartwright,Consumer,Office Supplies
376.11,Steven Cartwright,Consumer,Technology
51.94,Jas O'Carroll,Consumer,Furniture
47.84,Tracy Blumstein,Consumer,Office Supplies
47.96,Tracy Blumstein,Consumer,Technology
10.89,Tracy Blumstein,Consumer,Office Supplies
-169.37,Alan Haines,Corporate,Office Supplies
24.32,Alan Haines,Corporate,Office Supplies
-204.31,Alan Haines,Corporate,Office Supplies
6.68,Nick Zandusky,Home Office,Office Supplies
6.24,Nick Zandusky,Home Office,Office Supplies
54.40,Nick Zandusky,Home Office,Technology
-48.70,Nick Zandusky,Home Office,Furniture
78.86,Kelly Lampkin,Corporate,Furniture
20.16,Kelly Lampkin,Corporate,Furniture
-24.56,Kelly Lampkin,Corporate,Furniture
-62.88,Kelly Lampkin,Corporate,Office Supplies
9.30,Kelly Lampkin,Corporate,Office Supplies
15.55,Jonathan Doherty,Corporate,Office Supplies
10.82,Jonathan Doherty,Corporate,Office Supplies
27.32,Jonathan Doherty,Corporate,Office Supplies
38.02,Jonathan Doherty,Corporate,Furniture
6.57,Jonathan Doherty,Corporate,Office Supplies
-131.45,Jonathan Howell,Consumer,Furniture
12.86,Alan Schoenberger,Corporate,Furniture
2.85,Ken Brennan,Corporate,Office Supplies
20.92,Corey Roper,Home Office,Office Supplies
83.87,Corey Roper,Home Office,Office Supplies
2.00,Shahid Hopkins,Consumer,Office Supplies
3.59,Ben Peterman,Corporate,Furniture
52.51,Ben Peterman,Corporate,Furniture
1.71,Ben Peterman,Corporate,Furniture
2.04,Ben Peterman,Corporate,Office Supplies
37.64,Thomas Seio,Corporate,Furniture
22.30,Andy Gerbode,Corporate,Technology
5.44,Andy Gerbode,Corporate,Office Supplies
8.67,Sung Pak,Corporate,Office Supplies
24.16,Nathan Mautz,Home Office,Furniture
1995.99,Nathan Mautz,Home Office,Technology
80.02,Nathan Mautz,Home Office,Technology
129.60,Nathan Mautz,Home Office,Technology
13.07,Nathan Mautz,Home Office,Office Supplies
3.58,Frank Atkinson,Corporate,Office Supplies
81.74,Grace Kelly,Corporate,Office Supplies
35.00,Grace Kelly,Corporate,Technology
1.00,Don Jones,Corporate,Furniture
-67.88,Patrick O'Brill,Consumer,Technology
3.39,Patrick O'Brill,Consumer,Office Supplies
-258.50,Patrick O'Brill,Consumer,Furniture
33.83,Patrick O'Brill,Consumer,Office Supplies
-27.69,Patrick O'Brill,Consumer,Office Supplies
-20.70,John Lucas,Consumer,Technology
-13.82,John Lucas,Consumer,Office Supplies
-3.43,John Lucas,Consumer,Office Supplies
1.60,Doug Bickford,Consumer,Office Supplies
335.99,Doug Bickford,Consumer,Technology
4.49,Doug Bickford,Consumer,Office Supplies
2.80,Alyssa Crouse,Corporate,Office Supplies
-17.46,Alyssa Crouse,Corporate,Furniture
2.33,Ken Lonsdale,Consumer,Office Supplies
1.12,Jonathan Doherty,Corporate,Office Supplies
-407.98,Jonathan Doherty,Corporate,Office Supplies
10.07,Jonathan Doherty,Corporate,Office Supplies
8.39,Jonathan Doherty,Corporate,Technology
-2.22,Chad Sievert,Consumer,Office Supplies
4.80,Clay Cheatham,Consumer,Technology
3.10,Tamara Dahlen,Consumer,Office Supplies
11.54,Tamara Dahlen,Consumer,Office Supplies
4.15,Tamara Dahlen,Consumer,Office Supplies
2.31,Adam Bellavance,Home Office,Technology
11.54,Adam Bellavance,Home Office,Office Supplies
1.07,Adam Bellavance,Home Office,Office Supplies
23.09,Adam Bellavance,Home Office,Office Supplies
1415.43,Adam Bellavance,Home Office,Office Supplies
-4.86,Jeremy Lonsdale,Consumer,Furniture
3.80,Jeremy Lonsdale,Consumer,Office Supplies
6.99,Jeremy Lonsdale,Consumer,Office Supplies
15.82,Jeremy Lonsdale,Consumer,Office Supplies
11.33,Heather Kirkland,Corporate,Office Supplies
168.44,Victoria Brennan,Corporate,Office Supplies
9.94,Victoria Brennan,Corporate,Office Supplies
9.94,Katrina Willman,Consumer,Office Supplies
86.87,Katrina Willman,Consumer,Furniture
1.45,Katrina Willman,Consumer,Office Supplies
20.73,Katrina Willman,Consumer,Furniture
8.48,Julia Dunbar,Consumer,Office Supplies
10.44,Michael Kennedy,Corporate,Office Supplies
0.15,Michael Kennedy,Corporate,Office Supplies
29.34,Michael Kennedy,Corporate,Office Supplies
271.42,Michael Kennedy,Corporate,Furniture
9.40,Guy Thornton,Consumer,Office Supplies
4.67,Guy Thornton,Consumer,Office Supplies
-5.71,Arthur Gainer,Consumer,Office Supplies
179.19,Arthur Gainer,Consumer,Technology
0.92,Arthur Gainer,Consumer,Office Supplies
-29.94,Arthur Gainer,Consumer,Technology
30.98,Muhammed MacIntyre,Corporate,Office Supplies
-297.68,Allen Rosenblatt,Corporate,Furniture
-20.33,Russell Applegate,Consumer,Office Supplies
2.68,Russell Applegate,Consumer,Office Supplies
-18.87,Russell Applegate,Consumer,Office Supplies
25.48,Alejandro Savely,Corporate,Office Supplies
17.34,Alejandro Savely,Corporate,Office Supplies
8.80,Laura Armstrong,Corporate,Technology
-157.01,Denny Ordway,Consumer,Furniture
-1.05,Denny Ordway,Consumer,Technology
-337.64,Dean Katz,Corporate,Technology
0.78,Dean Katz,Corporate,Furniture
0.43,Nathan Gelder,Consumer,Office Supplies
7.88,Mike Vittorini,Consumer,Office Supplies
13.59,Mike Vittorini,Consumer,Technology
27.72,Jack Garza,Consumer,Technology
701.99,Jack Garza,Consumer,Technology
-20.56,Bart Pistole,Corporate,Office Supplies
25.58,Victor Preis,Home Office,Office Supplies
9.49,Saphhira Shifley,Corporate,Office Supplies
6.22,Saphhira Shifley,Corporate,Office Supplies
21.04,Harold Pawlan,Home Office,Office Supplies
3.60,Anna Gayman,Consumer,Office Supplies
-317.15,Anna Gayman,Consumer,Furniture
-32.78,Anna Gayman,Consumer,Office Supplies
0.72,Anna Gayman,Consumer,Technology
3.47,Luke Foster,Consumer,Office Supplies
9.77,Stephanie Phelps,Corporate,Office Supplies
9.70,Roy Französisch,Consumer,Office Supplies
37.79,Keith Herrera,Consumer,Technology
434.99,Keith Herrera,Consumer,Technology
13.30,Keith Herrera,Consumer,Office Supplies
-112.95,Keith Herrera,Consumer,Furniture
4.65,Keith Herrera,Consumer,Office Supplies
13.61,Keith Herrera,Consumer,Office Supplies
27.43,Keith Herrera,Consumer,Office Supplies
31.45,Keith Herrera,Consumer,Furniture
-18.45,Keith Herrera,Consumer,Furniture
65.73,Kimberly Carter,Corporate,Office Supplies
26.87,Kimberly Carter,Corporate,Furniture
25.90,Caroline Jumper,Consumer,Office Supplies
38.38,Philip Brown,Consumer,Furniture
2.83,Victoria Brennan,Corporate,Office Supplies
2.70,Sung Pak,Corporate,Office Supplies
7.02,Sung Pak,Corporate,Office Supplies
56.57,Joel Eaton,Consumer,Technology
14.71,Michael Paige,Corporate,Furniture
8.50,Michael Paige,Corporate,Office Supplies
225.26,Natalie Fritzler,Consumer,Furniture
11.08,Janet Molinari,Corporate,Furniture
138.20,Janet Molinari,Corporate,Office Supplies
30.10,Shirley Daniels,Home Office,Technology
0.50,Ken Heidel,Corporate,Office Supplies
-145.35,Ross Baird,Home Office,Office Supplies
76.64,Ross Baird,Home Office,Technology
54.74,Ross Baird,Home Office,Technology
-0.77,Ross Baird,Home Office,Office Supplies
207.15,Dave Brooks,Consumer,Office Supplies
-3.69,Mike Kennedy,Consumer,Office Supplies
-18.59,Mike Kennedy,Consumer,Technology
43.20,Philisse Overcash,Home Office,Technology
113.64,Philisse Overcash,Home Office,Office Supplies
11.55,Brenda Bowman,Corporate,Office Supplies
2.31,Cynthia Voltz,Corporate,Furniture
3.67,Pete Kriz,Consumer,Furniture
23.39,Pete Kriz,Consumer,Office Supplies
20.58,Pete Kriz,Consumer,Office Supplies
42.03,Pete Kriz,Consumer,Office Supplies
29.15,Pete Kriz,Consumer,Furniture
10.58,Pete Kriz,Consumer,Office Supplies
1.37,Troy Blackwell,Consumer,Furniture
15.48,Raymond Buch,Consumer,Office Supplies
9.72,Raymond Buch,Consumer,Office Supplies
71.25,Raymond Buch,Consumer,Office Supplies
7.92,Raymond Buch,Consumer,Office Supplies
2.85,Raymond Buch,Consumer,Office Supplies
9.13,Raymond Buch,Consumer,Technology
-75.83,Ed Braxton,Corporate,Furniture
66.54,Ed Braxton,Corporate,Office Supplies
24.91,Ken Heidel,Corporate,Technology
-24.29,Sanjit Chand,Consumer,Furniture
-96.11,Natalie Fritzler,Consumer,Furniture
3.35,Natalie Fritzler,Consumer,Office Supplies
36.37,Joseph Holt,Consumer,Office Supplies
377.96,Joseph Holt,Consumer,Technology
18.60,Joseph Holt,Consumer,Office Supplies
7.07,Tanja Norvell,Home Office,Furniture
-814.48,Tanja Norvell,Home Office,Furniture
-20.89,Tanja Norvell,Home Office,Office Supplies
-34.76,Tanja Norvell,Home Office,Office Supplies
5.87,Tanja Norvell,Home Office,Office Supplies
-312.06,Joni Sundaresam,Home Office,Furniture
-36.24,David Smith,Corporate,Furniture
-7.90,Craig Carreira,Consumer,Office Supplies
26.63,Maya Herman,Corporate,Office Supplies
3.41,Jeremy Pistek,Consumer,Office Supplies
10.48,Jeremy Pistek,Consumer,Furniture
88.00,Jeremy Pistek,Consumer,Technology
24.98,Jeremy Pistek,Consumer,Office Supplies
28.82,Jeremy Pistek,Consumer,Office Supplies
45.53,Jeremy Pistek,Consumer,Office Supplies
7.18,Kristen Hastings,Corporate,Technology
19.30,Jeremy Ellison,Consumer,Furniture
6.62,John Grady,Corporate,Office Supplies
84.51,John Grady,Corporate,Office Supplies
1.91,Xylona Preis,Consumer,Technology
1.67,Erin Mull,Consumer,Office Supplies
57.59,Erin Mull,Consumer,Technology
14.80,Michelle Tran,Home Office,Office Supplies
-30.25,Michelle Tran,Home Office,Furniture
17.50,Michelle Tran,Home Office,Technology
341.99,Sue Ann Reed,Consumer,Technology
0.60,Carl Weiss,Home Office,Technology
10.40,Carl Weiss,Home Office,Technology
6.16,Carl Weiss,Home Office,Office Supplies
8.98,Astrea Jones,Consumer,Office Supplies
5.09,Astrea Jones,Consumer,Office Supplies
13.16,Sonia Sunley,Consumer,Technology
-94.94,Rose O'Brian,Consumer,Furniture
51.66,Maribeth Dona,Consumer,Office Supplies
40.37,Sanjit Chand,Consumer,Office Supplies
81.84,Sanjit Chand,Consumer,Furniture
18.12,Sanjit Chand,Consumer,Furniture
22.87,Sanjit Chand,Consumer,Furniture
-15.08,Maribeth Yedwab,Corporate,Office Supplies
-11.96,Maribeth Yedwab,Corporate,Office Supplies
50.10,Maribeth Yedwab,Corporate,Furniture
-1.90,Maribeth Yedwab,Corporate,Office Supplies
11.89,Maribeth Yedwab,Corporate,Office Supplies
5.37,Ed Braxton,Corporate,Office Supplies
0.74,Christopher Martinez,Consumer,Office Supplies
2.17,Christopher Martinez,Consumer,Office Supplies
11.69,Christopher Martinez,Consumer,Office Supplies
3177.48,Christopher Martinez,Consumer,Office Supplies
40.42,Lynn Smith,Consumer,Furniture
12.17,Lynn Smith,Consumer,Technology
0.72,Luke Foster,Consumer,Office Supplies
1.79,Bradley Nguyen,Consumer,Office Supplies
1.71,Bradley Nguyen,Consumer,Office Supplies
1379.98,Alan Dominguez,Home Office,Technology
13.89,Alan Dominguez,Home Office,Office Supplies
5.38,Alan Dominguez,Home Office,Office Supplies
56.30,Alan Dominguez,Home Office,Office Supplies
5.29,Dean Braden,Consumer,Technology
-25.91,Dean Braden,Consumer,Office Supplies
-21.17,Dean Braden,Consumer,Office Supplies
21.10,Matt Connell,Corporate,Furniture
-12.41,Logan Haushalter,Consumer,Technology
27.17,Logan Haushalter,Consumer,Technology
10.43,Brian Dahlen,Consumer,Office Supplies
42.75,Patricia Hirasaki,Home Office,Furniture
5.14,Patricia Hirasaki,Home Office,Furniture
-7.27,Mike Gockenbach,Consumer,Office Supplies
-149.91,Mike Gockenbach,Consumer,Office Supplies
19.69,Mike Gockenbach,Consumer,Office Supplies
11.92,Karen Bern,Corporate,Furniture
2.40,Jasper Cacioppo,Consumer,Furniture
274.39,Rob Lucas,Consumer,Technology
11.38,Rob Lucas,Consumer,Office Supplies
1.47,Allen Armold,Consumer,Office Supplies
-68.19,Emily Phan,Consumer,Office Supplies
3.36,Mark Packer,Home Office,Office Supplies
41.29,Darren Koutras,Consumer,Office Supplies
70.98,Darren Koutras,Consumer,Furniture
206.32,Bradley Drucker,Consumer,Technology
38.09,Erin Smith,Corporate,Technology
-145.52,Liz MacKendrick,Consumer,Office Supplies
7.26,Paul Gonzalez,Consumer,Technology
6.30,Paul Gonzalez,Consumer,Technology
-84.29,Paul Gonzalez,Consumer,Furniture
13.93,Adrian Shami,Home Office,Office Supplies
6.41,Adrian Shami,Home Office,Office Supplies
15.64,Dean Katz,Corporate,Office Supplies
-17.05,Dean Katz,Corporate,Office Supplies
-1.74,Dean Katz,Corporate,Office Supplies
0.00,Bill Donatelli,Consumer,Furniture
6.04,Ryan Crowe,Consumer,Furniture
2.57,Greg Tran,Consumer,Office Supplies
310.99,Dean Katz,Corporate,Office Supplies
3.40,Ashley Jarboe,Consumer,Office Supplies
9.94,Olvera Toch,Consumer,Office Supplies
-217.05,Olvera Toch,Consumer,Furniture
15.55,Olvera Toch,Consumer,Office Supplies
16.61,Liz Pelletier,Consumer,Furniture
27.32,Liz Pelletier,Consumer,Office Supplies
1.30,Cynthia Arntzen,Consumer,Office Supplies
3.77,Cynthia Arntzen,Consumer,Furniture
0.00,Jeremy Farry,Consumer,Office Supplies
1.20,Jeremy Farry,Consumer,Office Supplies
46.80,Frank Preis,Consumer,Technology
45.00,Ellis Ballard,Corporate,Office Supplies
27.37,Ellis Ballard,Corporate,Office Supplies
9.33,Ellis Ballard,Corporate,Office Supplies
0.00,Ellis Ballard,Corporate,Furniture
34.78,Jennifer Ferguson,Consumer,Office Supplies
6.42,Jennifer Ferguson,Consumer,Office Supplies
11.23,Jennifer Ferguson,Consumer,Office Supplies
4.01,Jennifer Ferguson,Consumer,Technology
2.38,Sarah Foster,Consumer,Office Supplies
78.75,Trudy Glocke,Consumer,Office Supplies
9.76,Trudy Glocke,Consumer,Office Supplies
2.19,Trudy Glocke,Consumer,Office Supplies
8.71,Carlos Soltero,Consumer,Office Supplies
-5.71,Carlos Soltero,Consumer,Furniture
1.55,Charles Crestani,Consumer,Office Supplies
52.92,Dianna Vittorini,Consumer,Technology
9.24,Dianna Vittorini,Consumer,Technology
3.50,Dianna Vittorini,Consumer,Office Supplies
