Product ID,Discount Rate,Profit,Cost,Customer Name,Segment,City,State,Category,Sub-Category,Product Name,Sales
OFF-AP-10001492,0,15.69,44.65,Ken Black,Corporate,Fremont,Nebraska,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34
FUR-CH-10002774,0.3,-1.02,72.39,Sandra Flanagan,Consumer,Philadelphia,Pennsylvania,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.37
FUR-TA-10000577,0,240.26,804.37,Emily Burns,Consumer,Orem,Utah,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63
OFF-BI-10001634,0.2,4.22,7.43,Eric Hoffmann,Consumer,Los Angeles,California,Office Supplies,Binders,Wilson Jones Active Use Binders,11.65
TEC-AC-10003027,0,11.77,78.80,Eric Hoffmann,Consumer,Los Angeles,California,Technology,Accessories,Imation�8GB Mini TravelDrive USB 2.0�Flash Drive,90.57
FUR-BO-10004834,0.5,-1665.05,4748.48,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43
OFF-BI-10000474,0.7,-7.05,16.67,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.62
FUR-FU-10004848,0.2,15.53,108.67,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.20
OFF-EN-10001509,0.2,1.10,2.16,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,Office Supplies,Envelopes,Poly String Tie Envelopes,3.26
OFF-AR-10004042,0.2,9.71,76.59,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.30
OFF-BI-10001525,0.7,-5.72,12.58,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.86
OFF-AR-10001683,0.2,3.55,12.21,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,Office Supplies,Art,Lumber Crayons,15.76
OFF-PA-10000249,0.2,9.95,19.52,Matt Abelman,Home Office,Houston,Texas,Office Supplies,Paper,Easy-staple paper,29.47
TEC-PH-10004977,0.2,123.47,974.07,Gene Hale,Corporate,Richardson,Texas,Technology,Phones,GE 30524EE4,1097.54
FUR-FU-10003664,0.6,-147.96,338.88,Gene Hale,Corporate,Richardson,Texas,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92
OFF-EN-10002986,0.2,35.42,77.91,Steve Nguyen,Home Office,Houston,Texas,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.33
FUR-BO-10002545,0.32,-46.98,579.38,Steve Nguyen,Home Office,Houston,Texas,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.40
FUR-CH-10004218,0.3,-15.15,227.21,Steve Nguyen,Home Office,Houston,Texas,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.06
TEC-PH-10000486,0.2,41.76,329.41,Steve Nguyen,Home Office,Houston,Texas,Technology,Phones,Plantronics HL10 Handset Lifter,371.17
TEC-PH-10004093,0.2,16.56,130.61,Linda Cazamias,Corporate,Naperville,Illinois,Technology,Phones,Panasonic Kx-TS550,147.17
OFF-ST-10003479,0,3.89,73.99,Ruben Ausman,Corporate,Los Angeles,California,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88
OFF-ST-10003282,0.2,9.56,86.06,Erin Smith,Corporate,Melbourne,Florida,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.62
TEC-AC-10000171,0,19.77,26.21,Odella Nelson,Corporate,Eagan,Minnesota,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98
OFF-BI-10003291,0,8.21,9.25,Odella Nelson,Corporate,Eagan,Minnesota,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46
OFF-ST-10001713,0,8.48,203.48,Patrick O'Donnell,Consumer,Westland,Michigan,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96
TEC-AC-10002167,0,4.95,40.05,Lena Hernandez,Consumer,Dover,Delaware,Technology,Accessories,Imation�8gb Micro Traveldrive Usb 2.0�Flash Drive,45.00
TEC-PH-10003988,0,6.10,15.70,Lena Hernandez,Consumer,Dover,Delaware,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.80
OFF-BI-10004410,0,17.96,20.26,Darren Powers,Consumer,New Albany,Indiana,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22
OFF-LA-10002762,0,35.33,39.85,Darren Powers,Consumer,New Albany,Indiana,Office Supplies,Labels,Avery 485,75.18
FUR-FU-10001706,0,2.96,3.20,Darren Powers,Consumer,New Albany,Indiana,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16
FUR-CH-10003061,0,17.10,72.89,Darren Powers,Consumer,New Albany,Indiana,Furniture,Chairs,"Global Leather Task Chair, Black",89.99
OFF-FA-10000304,0,6.26,9.00,Janet Molinari,Corporate,New York City,New York,Office Supplies,Fasteners,Advantus Push Pins,15.26
TEC-PH-10002447,0,298.69,731.26,Janet Molinari,Corporate,New York City,New York,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95
OFF-ST-10000604,0,52.14,156.42,Ted Butterfield,Consumer,Troy,New York,Office Supplies,Storage,Home/Office Personal File Carts,208.56
OFF-PA-10001569,0,15.55,16.85,Ted Butterfield,Consumer,Troy,New York,Office Supplies,Paper,Xerox 232,32.40
FUR-CH-10003968,0.1,7.10,312.31,Ted Butterfield,Consumer,Troy,New York,Furniture,Chairs,Novimex Turbo Task Chair,319.41
OFF-PA-10000587,0,6.99,7.57,Ted Butterfield,Consumer,Troy,New York,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56
TEC-AC-10002167,0,3.30,26.70,Ted Butterfield,Consumer,Troy,New York,Technology,Accessories,Imation�8gb Micro Traveldrive Usb 2.0�Flash Drive,30.00
OFF-BI-10001460,0.2,16.36,32.12,Ted Butterfield,Consumer,Troy,New York,Office Supplies,Binders,Plastic Binding Combs,48.48
OFF-AR-10001868,0,0.84,0.84,Ted Butterfield,Consumer,Troy,New York,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68
TEC-AC-10004633,0,6.15,7.83,Kunst Miller,Consumer,Los Angeles,California,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98
OFF-BI-10001078,0.2,9.36,16.46,Kunst Miller,Consumer,Los Angeles,California,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.82
OFF-PA-10003892,0,68.96,77.77,Kunst Miller,Consumer,Los Angeles,California,Office Supplies,Paper,Xerox 1943,146.73
FUR-FU-10000397,0,22.33,57.43,Kunst Miller,Consumer,Los Angeles,California,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76
FUR-CH-10001146,0.3,-15.22,228.34,Paul Stevenson,Home Office,Chicago,Illinois,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.12
OFF-AR-10002671,0.2,111.30,1001.72,Brendan Sweed,Corporate,Gilbert,Arizona,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.02
TEC-PH-10002726,0.2,62.99,104.98,Brendan Sweed,Corporate,Gilbert,Arizona,Technology,Phones,netTALK DUO VoIP Telephone Service,167.97
OFF-PA-10000482,0,35.66,40.22,Karen Daniels,Consumer,Springfield,Virginia,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88
OFF-BI-10004654,0.2,1.73,2.89,Henry MacAllister,Consumer,New York City,New York,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.62
OFF-PA-10004675,0,8.76,10.29,Tracy Blumstein,Consumer,Jackson,Michigan,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05
FUR-CH-10000513,0.2,-114.39,946.33,Joel Eaton,Consumer,Memphis,Tennessee,Furniture,Chairs,High-Back Leather Manager's Chair,831.94
FUR-FU-10003708,0.2,1.21,95.83,Joel Eaton,Consumer,Memphis,Tennessee,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04
OFF-ST-10004123,0.2,-18.20,90.98,Joel Eaton,Consumer,Memphis,Tennessee,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.78
OFF-BI-10004182,0.8,-1.93,3.18,Ken Brennan,Corporate,Houston,Texas,Office Supplies,Binders,Economy Binders,1.25
FUR-FU-10000260,0.6,-5.82,15.53,Ken Brennan,Corporate,Houston,Texas,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.71
OFF-ST-10000615,0.2,2.72,24.52,Ken Brennan,Corporate,Houston,Texas,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24
FUR-FU-10003194,0.6,-14.48,33.78,Joel Eaton,Consumer,Houston,Texas,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.30
OFF-AP-10002118,0,56.20,151.96,Stewart Carmichael,Corporate,Decatur,Alabama,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16
OFF-BI-10002309,0,8.04,8.70,Stewart Carmichael,Corporate,Decatur,Alabama,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74
OFF-AR-10002053,0,4.17,10.73,Duane Noonan,Consumer,San Francisco,California,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.90
OFF-ST-10002370,0,6.20,15.19,Duane Noonan,Consumer,San Francisco,California,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39
OFF-EN-10000927,0.2,62.81,138.17,Julie Creighton,Corporate,Durham,North Carolina,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.98
OFF-ST-10003656,0.2,-48.95,279.33,Christopher Schild,Home Office,Chicago,Illinois,Office Supplies,Storage,Safco Industrial Wire Shelving,230.38
FUR-CH-10000863,0,33.22,268.74,Patrick O'Donnell,Consumer,Columbia,South Carolina,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96
TEC-AC-10001998,0,6.80,13.19,Paul Gonzalez,Consumer,Rochester,Minnesota,Technology,Accessories,Logitech�LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99
OFF-LA-10000134,0,2.96,3.20,Paul Gonzalez,Consumer,Rochester,Minnesota,Office Supplies,Labels,Avery 511,6.16
OFF-ST-10003442,0.2,13.86,144.51,Gary Mitchum,Home Office,Houston,Texas,Office Supplies,Storage,Eldon Portable Mobile Manager,158.37
OFF-AR-10004930,0,6.63,13.47,Jim Sink,Corporate,Los Angeles,California,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.10
TEC-PH-10004093,0.2,8.28,65.30,Jim Sink,Corporate,Los Angeles,California,Technology,Phones,Panasonic Kx-TS550,73.58
OFF-PA-10000304,0,3.11,3.37,Jim Sink,Corporate,Los Angeles,California,Office Supplies,Paper,Xerox 1995,6.48
OFF-PA-10003177,0,6.22,6.74,Karl Braun,Consumer,Minneapolis,Minnesota,Office Supplies,Paper,Xerox 1999,12.96
FUR-FU-10003799,0,16.54,36.80,Karl Braun,Consumer,Minneapolis,Minnesota,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34
OFF-BI-10002852,0,16.15,16.81,Karl Braun,Consumer,Minneapolis,Minnesota,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96
OFF-BI-10004738,0.7,-3.79,9.47,Roger Barcio,Home Office,Portland,Oregon,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.68
FUR-FU-10000629,0,40.54,55.99,Parhena Norris,Home Office,New York City,New York,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53
OFF-BI-10001721,0.2,17.96,33.35,Katherine Ducich,Consumer,San Francisco,California,Office Supplies,Binders,Trimflex Flexible Post Binders,51.31
OFF-AP-10000358,0,22.59,55.29,Elpida Rittenbach,Corporate,Saint Paul,Minnesota,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88
OFF-PA-10003256,0.2,22.62,42.00,Rick Bensley,Home Office,Chicago,Illinois,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.62
TEC-AC-10001767,0.2,-10.80,106.78,Rick Bensley,Home Office,Chicago,Illinois,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.98
OFF-BI-10002609,0.8,-3.04,4.83,Rick Bensley,Home Office,Chicago,Illinois,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.79
OFF-PA-10004040,0,11.72,12.20,Gary Zandusky,Consumer,Rochester,Minnesota,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92
TEC-AC-10001552,0.2,-26.88,265.78,Lena Cacioppo,Consumer,Aurora,Colorado,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.90
FUR-FU-10004006,0.2,-3.84,106.20,Lena Cacioppo,Consumer,Aurora,Colorado,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36
OFF-BI-10002794,0.7,-25.82,62.70,Lena Cacioppo,Consumer,Aurora,Colorado,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.88
TEC-AC-10003499,0.2,17.60,56.51,Janet Martin,Consumer,Charlotte,North Carolina,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.11
TEC-PH-10002844,0.2,2.10,25.89,Janet Martin,Consumer,Charlotte,North Carolina,Technology,Phones,Speck Products Candyshell Flip Case,27.99
OFF-AR-10000390,0.2,1.07,2.23,Janet Martin,Consumer,Charlotte,North Carolina,Office Supplies,Art,Newell Chalk Holder,3.30
TEC-AC-10000844,0.2,67.99,271.97,Pete Armstrong,Home Office,Orland Park,Illinois,Technology,Accessories,Logitech�Gaming G510s - Keyboard,339.96
FUR-FU-10001934,0,10.91,31.05,Cynthia Voltz,Corporate,New York City,New York,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96
OFF-AR-10000380,0,22.79,53.17,Clay Ludtke,Consumer,Urbandale,Iowa,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96
OFF-BI-10003981,0,13.35,13.89,Clay Ludtke,Consumer,Urbandale,Iowa,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24
OFF-FA-10000621,0.2,14.53,25.57,Ryan Crowe,Consumer,Columbus,Ohio,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.10
OFF-EN-10002600,0.2,1.65,3.07,Ryan Crowe,Consumer,Columbus,Ohio,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72
OFF-PA-10004965,0.2,7.49,16.49,Ryan Crowe,Consumer,Columbus,Ohio,Office Supplies,Paper,Xerox 1921,23.98
OFF-EN-10002504,0.2,44.03,86.43,Ryan Crowe,Consumer,Columbus,Ohio,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.46
FUR-TA-10001768,0,165.38,622.15,Dave Kipp,Consumer,Seattle,Washington,Furniture,Tables,Hon Racetrack Conference Tables,787.53
OFF-BI-10003650,0.7,-115.72,273.51,Greg Guthrie,Corporate,Bristol,Tennessee,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.79
FUR-FU-10002157,0,18.35,28.69,Steven Cartwright,Consumer,Wilmington,Delaware,Furniture,Furnishings,Artistic Insta-Plaque,47.04
OFF-BI-10003910,0,13.88,16.96,Steven Cartwright,Consumer,Wilmington,Delaware,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84
OFF-ST-10000777,0,63.44,163.12,Steven Cartwright,Consumer,Wilmington,Delaware,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56
OFF-EN-10002500,0,51.76,63.26,Steven Cartwright,Consumer,Wilmington,Delaware,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02
TEC-PH-10003875,0,19.73,48.31,Steven Cartwright,Consumer,Wilmington,Delaware,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04
FUR-CH-10004063,0.3,-8.58,609.14,Alan Dominguez,Home Office,Houston,Texas,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.56
FUR-TA-10004534,0.5,-407.68,1025.38,Philip Fox,Consumer,Bloomington,Illinois,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.70
OFF-BI-10003274,0.7,-1.83,4.22,Troy Staebel,Consumer,Phoenix,Arizona,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.39
OFF-ST-10002974,0.2,30.50,213.49,Troy Staebel,Consumer,Phoenix,Arizona,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.99
FUR-CH-10001146,0.2,-9.16,90.58,Lindsay Shagiari,Home Office,Los Angeles,California,Furniture,Chairs,"Global Task Chair, Black",81.42
FUR-FU-10003773,0,26.24,212.32,Lindsay Shagiari,Home Office,Los Angeles,California,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56
TEC-PH-10002293,0.4,-11.99,71.96,Dorothy Wardle,Corporate,Columbus,Ohio,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97
OFF-PA-10002377,0.2,29.36,48.94,Dorothy Wardle,Corporate,Columbus,Ohio,Office Supplies,Paper,Xerox 1916,78.30
OFF-FA-10002780,0.2,6.97,14.49,Dorothy Wardle,Corporate,Columbus,Ohio,Office Supplies,Fasteners,Staples,21.46
OFF-PA-10001804,0,9.62,10.42,Lena Creighton,Consumer,Roseville,California,Office Supplies,Paper,Xerox 195,20.04
OFF-PA-10001736,0,16.66,18.78,Lena Creighton,Consumer,Roseville,California,Office Supplies,Paper,Xerox 1880,35.44
OFF-AR-10001149,0,3.46,8.06,Lena Creighton,Consumer,Roseville,California,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52
OFF-FA-10002988,0,1.97,2.05,Lena Creighton,Consumer,Roseville,California,Office Supplies,Fasteners,Ideal Clamps,4.02
OFF-BI-10004781,0.2,26.66,49.52,Lena Creighton,Consumer,Roseville,California,Office Supplies,Binders,GBC Wire Binding Strips,76.18
OFF-SU-10001218,0,18.45,47.43,Lena Creighton,Consumer,Roseville,California,Office Supplies,Supplies,Fiskars Softgrip Scissors,65.88
FUR-FU-10001706,0,20.70,22.42,Lena Creighton,Consumer,Roseville,California,Furniture,Furnishings,Longer-Life Soft White Bulbs,43.12
FUR-FU-10004848,0.2,10.35,72.45,Jonathan Doherty,Corporate,Philadelphia,Pennsylvania,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.80
OFF-AR-10000940,0,2.38,6.44,Sally Hughsby,Corporate,San Francisco,California,Office Supplies,Art,Newell 343,8.82
OFF-EN-10004030,0,5.10,5.76,Sally Hughsby,Corporate,San Francisco,California,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,10.86
OFF-PA-10004327,0,68.98,74.72,Sally Hughsby,Corporate,San Francisco,California,Office Supplies,Paper,Xerox 1911,143.70
OFF-AP-10001058,0,218.25,621.18,Sandra Glassco,Consumer,Independence,Missouri,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43
OFF-ST-10003656,0,20.16,651.77,Helen Andreada,Consumer,Pasadena,California,Office Supplies,Storage,Safco Industrial Wire Shelving,671.93
FUR-FU-10000521,0.2,12.91,80.98,Maureen Gastineau,Home Office,Newark,Ohio,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",93.89
TEC-PH-10000215,0,103.80,280.65,Justin Ellison,Corporate,Franklin,Wisconsin,Technology,Phones,Plantronics Cordless�Phone Headset�with In-line Volume - M214C,384.45
TEC-PH-10001448,0,6.00,143.97,Justin Ellison,Corporate,Franklin,Wisconsin,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,149.97
FUR-CH-10000454,0,585.55,1366.29,Justin Ellison,Corporate,Franklin,Wisconsin,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84
OFF-BI-10002735,0,80.63,90.92,Justin Ellison,Corporate,Franklin,Wisconsin,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,171.55
OFF-AP-10000326,0.2,17.77,140.15,Tamara Willingham,Home Office,Scottsdale,Arizona,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92
TEC-PH-10001254,0.2,15.24,187.94,Tamara Willingham,Home Office,Scottsdale,Arizona,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded�Headset,203.18
OFF-PA-10001950,0,26.27,32.11,Stephanie Phelps,Corporate,San Jose,California,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38
OFF-PA-10002254,0,48.54,56.98,Stephanie Phelps,Corporate,San Jose,California,Office Supplies,Paper,Xerox 1883,105.52
OFF-ST-10001590,0,21.03,59.85,Stephanie Phelps,Corporate,San Jose,California,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",80.88
OFF-AR-10001547,0,1.79,4.84,Neil Knudson,Home Office,Seattle,Washington,Office Supplies,Art,Newell 311,6.63
FUR-CH-10004063,0.2,51.48,406.09,Dave Brooks,Consumer,Seattle,Washington,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,457.57
OFF-LA-10002475,0,6.87,7.75,Nora Paige,Consumer,Edmond,Oklahoma,Office Supplies,Labels,Avery 519,14.62
TEC-PH-10004536,0,236.23,708.70,Nora Paige,Consumer,Edmond,Oklahoma,Technology,Phones,Avaya 5420 Digital phone,944.93
OFF-PA-10002751,0,2.69,3.29,Ted Trevino,Consumer,Los Angeles,California,Office Supplies,Paper,Xerox 1920,5.98
TEC-AC-10003657,0.2,1.36,53.02,Eric Murdock,Consumer,Philadelphia,Pennsylvania,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,54.38
OFF-EN-10001990,0,13.35,15.05,Ruben Dartt,Consumer,Carlsbad,New Mexico,Office Supplies,Envelopes,Staple envelope,28.40
OFF-BI-10004002,0.2,9.69,17.99,Max Jones,Consumer,Seattle,Washington,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,27.68
OFF-AR-10004441,0.2,2.73,7.21,Becky Martin,Consumer,San Antonio,Texas,Office Supplies,Art,BIC Brite Liner Highlighters,9.94
TEC-MA-10000822,0.4,-1359.99,9519.94,Becky Martin,Consumer,San Antonio,Texas,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,8159.95
OFF-ST-10000991,0.2,-58.63,334.56,Becky Martin,Consumer,San Antonio,Texas,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,275.93
FUR-CH-10004287,0.3,-24.86,1764.92,Becky Martin,Consumer,San Antonio,Texas,Furniture,Chairs,SAFCO Arco Folding Chair,1740.06
